word,count
andresist,1
circuitri,4
nosepiec,1
orthogon,5
multiplexor,2
polypeptid,3
interchang,6
prefix,2
xylen,2
terphenyl,1
andfil,1
interpolym,1
microlithograph,1
tailstock,1
semitranspar,2
crossbar,3
sputter,2
phosphorothio,1
cyclodextrin,2
swivel,2
dialkylaminocarbonyl,1
inala,1
pigment,2
lumin,2
alkenyl,1
microbi,1
yellow,3
viewabl,3
disturb,5
benzyloxycarbonyl,1
prize,1
wooden,1
isopropylamino,1
andfilt,1
crotch,1
calendar,1
photomet,1
bitstream,2
miller,1
scraper,3
andpressur,1
second,9
glassi,2
dihalo,1
tether,2
heterojunct,2
dialogu,1
heterocycloalkyl,1
semicircular,1
chlorophenoxi,1
fossil,1
ongo,1
widget,1
andcomplet,1
ophthalm,2
elast,4
anddelay,1
highpass,1
gamut,2
bromin,2
pancreat,1
tetrazol,1
bromid,2
perfluoroalkyl,1
deterior,3
hereinabov,1
thiophenyl,1
andmount,1
synchronis,1
znse,2
interferon,1
hydroxybutyl,1
interfit,2
lengthen,2
brought,7
remnant,1
topographi,2
stern,1
nitrat,1
unit,8
spoke,2
music,4
imidazolium,1
strike,3
ontolog,1
cyclopropan,1
nebul,1
subsurfac,3
relay,5
relax,4
relat,9
notic,1
glass,4
hole,4
hold,8
dimethylbenzyl,1
accid,1
betain,2
sweeten,1
blade,4
amyloid,1
locker,1
overstress,1
ultrason,6
pyridazin,1
obliqu,3
wand,2
edibl,1
household,2
aluminosil,1
infus,1
polybutylen,1
titanium,2
malign,1
sprag,1
cryostat,1
want,1
pintl,1
rayon,1
undecyl,1
electropl,2
travel,5
classifi,2
hvpe,1
playback,4
hop,2
perspect,2
andcompens,1
voic,3
diagram,3
scandium,2
andpolish,1
thatsaid,1
micromet,3
reshap,1
breathabl,1
vicin,6
tetra,3
speckl,1
sinewav,1
revolv,3
polypropylen,2
alias,1
dispar,2
wing,2
wind,4
antivir,1
feedback,2
shorten,4
carboxyalkyl,1
foodstuff,2
appar,3
vari,8
fir,1
ligand,2
fit,3
fix,7
narrowest,1
biodegrad,1
auditori,1
frusto,2
hidden,3
fin,4
liftabl,1
undercut,2
enrich,2
rectangl,5
lyophil,1
effectu,4
surgic,3
interrupt,6
trifluoro,1
sixteen,2
silver,4
andadjust,4
accommod,6
lockout,2
arrow,4
debug,2
healthcar,1
methylpyrrolidin,1
garment,1
andlatch,2
spider,2
counterelectrod,1
radiopaqu,1
andaft,1
butoxycarbonyl,1
semiconductor,2
prefilt,1
taox,1
adapt,7
formylamino,1
sensori,1
andus,2
navig,4
midpoint,5
trichloro,1
oxyl,1
knit,4
untreat,2
allerg,1
igfet,2
naphthol,1
silicon,3
nitrifi,1
unabl,3
